Review,True Label,Naive Bayes Prediction,Logistic Regression Prediction,DistilBERT Prediction,Error Pattern,Error Category,Possible Reason
"Ever watched something so awful you just have to keep watching to be sure it really is as bad as it looks? This is one of those films. It was slammed by the critics on it's release, not least for the way it was funded. I caught it on TV last night and gave in to curiosity.<br /><br />In the event, it is what it says on the box, no more nor less: low level humour, crudity, very much in the 'Carry On...' vein but with 'adult' language. Indeed, it harks back to the 60s/70s UK porn industry, cheating punters by promising real sex and not delivering (spot the nipple?) That whole tawdry era is lovingly recreated here but with modern cinematography.<br /><br />It has the benefit of Mackenzie Crook (The Office, Pirates of the Caribbean and much more) and also Johnny Vegas. The chip shop girl is genuinely sexy. Beyond these unexpected positives, it does leave me wondering what happened to England. Junk food, low paid work, council estates, desperate lives. As a bonus, there are some nice shots of leafy Birmingham. Foreigners might find it informative about British attitudes and aspirations. Overall, though, I still feel disbelief that I sat through it.",0,0,0,1,"Traditional models correct, DistilBERT wrong",,
"One cannot help but be impressed with the intelligence and scale of this film, and simultaneously disappointed by the lost opportunities.<br /><br />I found the script to be excellent, and the vocal talent of Edmund Purdom quite impressive. However, as an artifact of its time, the film suffers from too many Hollywood-isms, especially poor casting, too much lushness of the sets, and too much pretentiousness. Edmund Purdom (who plays the title character) is so obviously awkward with physical acting, I suspect he had primarily been in Shakespearean theater before this.<br /><br />So if movie people are reading this, I propose this as an excellent candidate for a remake, especially if you cast real Egyptians as Egyptians!",1,1,1,0,"Traditional models correct, DistilBERT wrong",,
"When Exploiters become evangelist, they still exploit in the name of poverty! <br /><br />My first reaction after seeing the movie is  God Bless me that I am not eating fish or any non-vegetarian products! <br /><br />The documentary is about Lake Victoria of Tanzania where numerous varieties of lovely fishes used to live, and one day during 1960s somebody came and injected the mighty fish Perch, who became the exportable commodity for Tanzania to European and Japanese markets. The consequences were severe  firstly all local small and big fish were extinct; secondly the plane that came to take the fish could not travel empty because it does not make commercial/ business/ capitalist sense, so it is filled with arms and ammunition (that is what Europe can give this world); thirdly the pilots (as all migrants and traveling population like truck drivers) has to survive their sexual needs by flourishing cheap local African prostitutes for them; fourthly the brokers, dealers, middle men in the chain (mainly Indian origin business people) get richer and Tanzania's poverty remains the same; fifth poverty drives the children to crime, drugs etc.<br /><br />The premise to make this documentary was excellent. But has the Director Hubert Sauper succeeded in making a good documentary? It is a big NO. <br /><br />I say the reasons: Like in India, it requires a higher caste Brahmin to stand up and project to the world, Indian poverty and untouchables; similarly it requires an Austrain born European documentary maker to tell the world the story of Tanzania and its crumbling and ruining economy and poverty. It is the pathetic motive of unaware breeding of that rich class (who have never seen poverty or known poor), who survives, live, earn and fame like pest hanging on to projecting poverty to the world as soon as they see it. There is nothing more but despise by poor people in African and India who see such images of their.<br /><br />The intention and motives of the Hubert seems totally lop-sided. The images, characters, locales, interviews are too grave and murky, dark and disturbing. He uses exaggerated ignorance as a voice to present his case. What we feel in the end is pity and sadness for Africans. We also start considering the Tanzania government and people as villainous. May be some westerners sitting in their air-conditioned rooms would find time to discuss and debate about the pathetic living conditions of Africans, but there would be nothing more than that.<br /><br />The director restrains to show himself even once on the screen  so as not to be identified among the Europeans who exploit this poor country.<br /><br />This Director Hubert can only survive being exploiters themselves like today's CNN and BCC media giants. Hubert did not have guts or common sense to talk to any Europeans who eat or companies who import these fish products. A totally lop-sided flimsy effort! But I understand the reasons of the same  Hubert just wanted to rake his fame, sitting and smiling with awards in his European comfort.<br /><br />No more words to spare for this pathetic effort. I hesitantly give the documentary a higher rating 3.5 Stars out of 10, just because the theme was correct; but was pathetically exploited and blown away by amateurish ill conceived director made solely for un-intelligent western audiences! (Stars 3.5 out of 10)",0,0,0,1,"Traditional models correct, DistilBERT wrong",,
"Deepa has again tried to bravely bring out a subject that no one wants to talk about. The story line is OK, cinematography is outstanding, screenplay and acting are way below average. I guess the blame is to the citizens of Uttar Pradesh in India from where her original set was destroyed in 2000. This resulted in a totally different cast, I just wonder what a spectacular movie it would have been if it had the original Shabana Azmi, Nandita Das and Aamir Khan. The current actors Lisa Ray (who's just good for squirming in Bombay Dyeing bedsheets) and John Abraham are pathetic, need basic lessons in acting. Seema Biswas, Raghubir Yadav and Kulbushan Kharbabda have saved the movie as much as they can. The kid had done an outstanding job. The editing and the flow of the movie is also not something you would have expected from Deepa. Great subject, sends out a strong message about a practice which is still pretty rampant in rural India but falls short of the standards Deepa set for herself in Fire and Earth. Watch it once...when its on DVD, don't bother paying $10 to see it....well its out beats the average Hindi movie any day",0,0,0,1,"Traditional models correct, DistilBERT wrong",,
"The history of TV to film adaptations are littered with aberrations which almost conclusively prove that the tradition should never have started in the first place. There are, however, some examples which manage to pull it off, just. Rising Damp would, at first, appear to be the last sitcom suitable for the big screen treatment as this hilarious series was based within the tiny confines of a northern bedsit. Also the writer, Eric Chappell, wasn't being paid enough to spend time crafting an entirely original screenplay so he harvested a batch of TV episodes and stitched them together to form the body of the film. This, in itself, didn't necessarily mean that the script would fail. David Croft and Jimmy Perry did the same thing with their screenplay for Dad's Army and it worked superbly. Although, the early Dad's Army episodes, with their staid pace and over arcing plot, lent themselves far better to film adaptation. The Rising Damp episodes, however, were high energy affairs from the first scene to the breathless climax. As a result, as one story is concluded and another started, the scenes within the film become disjointed. Another pitfall for the movie version of a TV series is the inevitable comparisons that are made. In this respect the film pales in comparison to Rising Damp's brilliant series. Despite all this, Rising Damp the Movie manages to be entertaining and occasionally uproarious. It is perhaps not surprising that the finest moments occur during sequences written specially for the film. This includes a rugby match where Rossiter does a brilliantly timed pratfall. Indeed, while all the cast handle their roles perfectly (bar a sub standard replacement actor for the late and truly great Beckinsale), it is Leonard Rossiter as Rigsby that shines the most. In fact Rising Damp should have been made as a film just so Rossiter could have been eligible for an Oscar, such is the magnificence of his acting talent. Criminally, he wasn't even nominated. Ultimately, the film fails to match the giddy heights of the TV series while managing to hold its own as a comedy in its own right with some beautifully played moments. Recommended viewing.<br /><br />One last thing: The opening and closing music is by far the worst in film history.",1,1,1,0,"Traditional models correct, DistilBERT wrong",,
"Robert Cummings, Laraine Day and Jean Muir star in ""And One Was Beautiful,"" a 1940 film also starring Billie Burke. At one hour and 15 minutes, this looks to have been a B movie. Cummings is a playboy, Ridley Crane, whom many women desire, including two sisters, Katherine and Helen Latimer (Day and Muir). Katherine is the more earthbound of the two who likes to fix cars, and Helen is the blonde social butterfly with the beautiful gowns. Ridley arrives back in town, and, believing he's not going to be at a party, Helen decides not to attend. Since the party is given by a family friend, their mother (Burke) sends Katherine in a pinned up dress. Ridley is there, and the two connect. But Ridley is into more superficiality, and when he sees Helen at a dinner party, the two pick up where they left off and go to a club. He becomes terribly drunk, and Helen at first refuses to ride in his car because he won't let her drive. After walking awhile and breaking the heel of her shoe, she gets into Ridley's car when he drives by. He passes out, and she takes over the wheel, accidentally hitting and killing a bicyclist.<br /><br />Ridley can't remember anything, so Helen lets him take the blame for the death. The heel of a woman's shoe is found in the car, and Katherine sees her sister bury her shoes - plus, something in Helen's manner makes her realize that Helen isn't telling the truth. Ridley is convicted and goes to prison, and Helen marries a man she doesn't love and leaves for South America.<br /><br />This is a wonderful film, even though at the time, this wasn't an A-list cast. Cummings is playing a part that Robert Taylor would have played (it's an MGM film) - he's handsome and very amiable, even if he doesn't have the dazzling looks of someone like Taylor. Laraine Day is a favorite actress of mine, someone MGM loaned out constantly because they didn't know what to do with her. Why, I wonder - a wonderful actress with a great face and voice, she livened up many a film. This one is no different. Her Katherine is determined, sympathetic and totally lovely. Jean Muir is a lousy actress.<br /><br />So who was the beautiful one? We all know even if MGM didn't.<br /><br />Highly recommended little gem.",1,1,1,0,"Traditional models correct, DistilBERT wrong",,
"A ""40 foot long"" giant mutant squid with five tentacles, razor fangs and the ability to reproduce it's own cells terrorizes a small Florida town. Various marine biologists, doctors and cops plot to kill it. Meanwhile, a human monster named Miller offs people who discover the ""Devilfish"" is a manmade creation used for the greedy benefit of some evil doctors! Miller attacks a female researcher, strangles her, drowns her in the bathtub, tosses in a hairdryer, then rips the panties off her dead body!<br /><br />Lots of false alarms are set when our heroes Peter, Stella, Janet and Bob set out on a high tech (high tech for 1984, anyway) ""Seaquarium"" boat to catch the creature, who is frequently seen in close up or hilariously obvious speeded-up film to seem more menacing. And only fire can destroy it, which leads to a flamethrower-armed posse vs. aquatic beast finale.<br /><br />This JAWS cash-in is pretty tame (other than a legless corpse and a decapitation) but watchable and benefits from an excellent Antony Barrymore score and a decent (again, for 1984) monster design. Luigi Cozzi and Sergio Martino wrote the original story.<br /><br />Score: 4 out of 10",0,0,0,1,"Traditional models correct, DistilBERT wrong",,
"Minnie and Moskowitz is the most pathetic and ungraceful love story I've ever seen. Between Minnie, a disillusioned museum curator whose abusive married boyfriend dumps her and leaves her even more uptight and confused than she already was, and Seymour Moskowitz, a parking attendant so desperate for attention that he spends his nights going to bars and restaurants aggravating people, there is a chaotic and disenchanted match from the start. Just like so many pairings that we see every day.<br /><br />In nearly every love story, there is a man and a woman, the man being confident, funny, either classically hot or attractive in his own way, whose shortcomings are charming, and the woman a wounded soul who could have any man she wants who chooses this guy because there's just something about him. These movies make everyone feel so good because the characters embody what every man and woman wants to be, not what they are. Minnie and Moskowitz, instead of indulging in any hint of fantasy in the realm of romance, depicts people who may just be more common than the attractive, confident people with so much experience playing the field. What's the story behind the love affairs of the ugly, alarmingly awkward man with no life and no job that we all run into, or the woman so crippled by insecurity that it's difficult to talk to her?<br /><br />This film is not as fascinating as Cassavetes's Faces or Opening Night, but it has that riveting quality that Cassavetes always fought so hard to render, which is an unbridled depiction of people underneath the ego that hides behind itself in nearly all other films. Gena Rowlands and Seymour Cassel, delivering startlingly pitiable people, are hardly likable. Moskowitz nearly drives us mad, let alone Minnie. He imposes himself so forcefully in her life, the dates are an explosion of the inner voices of ours that respond to the screamingly inept uneasiness on dates we've all been on, rejections we've all swallowed, and arguments we've all had that we know were our own faults. I admire a film like Minnie and Moskowitz because, as the trademark is with the films Cassavetes helmed himself, it identifies with us in 100% honesty. Our egos play no part in company with his characters, thus a tremendous achievement per performance by actor.",1,1,1,0,"Traditional models correct, DistilBERT wrong",,
"""Lights of New York"" originally started out as an experimental two reel Vitaphone short that eventually snowballed into the first all talkie feature film. Helene Costelle was supposedly one of the most beautiful actresses in Hollywood and sister to (in my opinion the real beauty) Dolores Costello, who seemed to get all the breaks. Poor Helene is best known for appearing in this pretty dreary film that bought a revolution to Hollywood!!<br /><br />Two bootleggers on the lam in ""Main Street"" convince a couple of small town barbers to try their luck on Broadway. The barbers Eddie (Cullen Landis) and Gene (Eugene Palette) don't realise that their barber shop is soon a cover for illegal bootlegging activities. They soon do realise it and regret the day they left their small town. The only thing keeping them going is the loan that Eddie's mother gave them and that they desperately want to pay back. Eddie becomes re-acquainted with Kitty Lewis (Helene Costello) a girl from his home town who has made good on Broadway. Kitty is worried about ""Hawk"" Miller (Wheeler Oakman) who is always hanging around her but Eddie, innocently, thinks she is exaggerating as ""Hawk"" already has a girlfriend Molly (Gladys Brockwell) but to reassure her he gives her a little handgun to frighten unwanted admirers away. ""Hawk"", who has killed a police officer and has the ""Feds"" closing in, decides to frame Eddie. Meanwhile Molly is getting pretty fed up with ""Hawks"" treatment of her and after a showdown where he tells her he is after a chicken and not an old hen the stage is set for - Murder!!!<br /><br />The fact is it isn't completely awful, apart from gangsters and showgirls alike speaking in their best elocution voices and that was still happening in films in 1930. Gladys Brockwell (if a trifle melodramatic) and Eugene Palette (quite natural) were okay and were the most seasoned actors in the cast. There was no John or Ethel Barrymore to be seen - Cullen Landis and Helene Costello soon returned to the obscurity from which they had come. I also didn't notice much of the ""hidden mike"" - where people had to be grouped around different objects ie a telephone or sitting on a couch before they could engage in conversation. People who saw it at the cinema probably started to think that all policeman talked in that flat monotone as that trend continued in many early talkies ie ""Little Caesar"" (1930). In any case they were probably intrigued by the novelty of a completely all talkie - with some singing and dancing - film in 1928.<br /><br />Recommended.",1,1,1,0,"Traditional models correct, DistilBERT wrong",,
"Oldboy is set in Korea & starts as a drunken Dae-su Oh (Min-Sik Choi) is bailed out of the police station by his friend only to be abducted, Dae-su wakes up & finds himself in a small room which he will be imprisoned in for the next fifteen years. Dae-su is fed & looked after by his unknown captors but is never allowed out of the room, Dae-su begins to train himself to avenge himself after he gets out which he intends to do by scrapping away the cement from the brickwork with a chopstick. However before Dae-su finishes he is gassed & rendered unconscious, when he wakes up Dae-su finds himself free on the roof of a tall building dressed & all moneyed up. Dae-su instantly sets about trying to find out who imprisoned him, after meeting the pretty Mido (Hye-jeong Kang) the two fall in love & together with her help Dae-su finally finds what he is looking for but the truth comes at a price...<br /><br />This South Korean production was co-written & directed by Chan-wook Park & has gotten any number of glowing reviews (the sort that distributors can pick quotes out & plaster them on the video box) & even won the Grand Prize of the Jury at Cannes while it was also nominated for the Golden Palm so surely Oldboy is a true classic? Well not for me it isn't since as I can't understand why it's so liked & I would go as far as to say I pretty much hated it apart from one or two isolated moments. For a start I couldn't get into the story at all, I just didn't like it as I thought it was slow & boring & while many out there would have you believe Oldboy has the bestest most shocking twist ever I thought it was rather plain & not very well executed either. The ending in which Dae-su goes to the New Zealand Alps to be hypnotised feels tagged on as well almost as if the makers wanted some sort of happy ending. At almost two hours I almost fell asleep I was so bored, the violence is tame & it's the thought of what's happening that I would imagine most people have a problem with rather than what is actually shown. In fact Oldboy has a very low body count of about seven & one mild sex scene, it's really not that graphic or memorable. I didn't warm to any of the character's & while I accept Oldboy has an alright concept & premise it fails to deliver & it's one film that I will never understand why so many people seem to like.<br /><br />Based on a Japanese Manga of the same name Oldboy the film looks alright, there's one or two nice visual moments here although while everyone raves about the hallway fight that takes place in one continuous shot I was pretty unimpressed & thought the fight choreography was quite dull. The actual on-screen gore violence amounts to very little, Dae-su eats a live Octopus which is apparently quite normal in Korea anyway, there are some fight scenes, a severed hand, someones teeth are pulled out & there's a bit of blood at the end.<br /><br />The budget was supposedly around the $4,000,000 mark which is actually a fair bit, filmed in South Korea & New Zealand. The acting looks alright but it's hard to tell when actors are speaking a different language.<br /><br />Oldboy is a film that I found an absolute chore to sit through, I don't mind subtitled films or foreign films or paying attention to the plot as I followed the thing perfectly but I just didn't like any of it & it's as simple & straightforward as that. Apparently the second in director Choi-wook Park's revenge trilogy which also includes Sympathy for Mr. Vengeance (2002) & Lady Vengeance (2005).",0,0,0,1,"Traditional models correct, DistilBERT wrong",,
"John Wayne is one of the few players in film history to have failed at his first big break and then succeed on the second time around. Of course everyone knows the second time was the classic Stagecoach with John Ford directing.<br /><br />But we're here to talk about The Big Trail. John Ford's fellow director Raoul Walsh spotted this tall kid on the set of one of Ford's films and thought he had potential. He wanted to make him the lead in a big budget western that Fox was planning to do. The film as planned would be an homage to the famous classic silent western The Covered Wagon.<br /><br />In watching The Big Trail I was struck by how similar Wayne's character of Breck Coleman here is to the Ringo Kid in Stagecoach. Both characters were likable young cowpokes, but both were also on a mission of vengeance. And of course both films were done on location and show the expense in making them. No studio product here with a backlot western set. <br /><br />I also don't think that it was an accident that Wayne got this break at the beginning of the sound era. Raoul Walsh, I'm guessing looked around Hollywood and probably didn't think a whole lot of movie cowboys would have staying power in sound. That's something else Walsh spotted in Wayne.<br /><br />According to what I've read The Big Trail flopped because after spending all that money to make the film in an early wide screen process, some genius at Fox realized that their theaters weren't equipped with the wide screen to show it. And when the Great Depression hit there would be no money to widen those screens at Fox movie houses. So The Big Trail got a limited release, even in what we would call a formatted version, and lost money big for Fox films.<br /><br />Marguerite Churchill is fine as the crinoline heroine who Duke wins, loses and wins again from Ian Keith. Keith, Charles Stevens and F. Tyrone Power are the trio of villains Wayne has to deal with.<br /><br />F. Tyrone Power is the father of the famous movie legend Tyrone Power. He was a big burly man with a grand background in classic roles on screen and on stage. I wouldn't be surprised if his son who would have been 15 at the time might not have been hanging around the set.<br /><br />Also look for Ward Bond though you might have trouble spotting him under a big bushy beard.<br /><br />Watching The Big Trail now it is interesting to speculate where John Wayne's career might have gone if The Big Trail had been a big hit.",1,1,1,0,"Traditional models correct, DistilBERT wrong",,
"I kind of like JAG. It do have it´s charm but lately it´s to much propaganda in it. For an outsider (a non American) the patriotic feeling can be a bit to much.<br /><br />I don´t like that Rabb and MacKenzie goes from being lawyers (as they were in the early parts of the TV show) to become super heros that stops wars and rescues entire continents. Its almost like watching a recruitment video from the US army.<br /><br />I still watch the show, so it´s not that bad. But i would prefer more episodes when Rabb and MacKenzie investigates military accidents and don´t save the world in the future.",0,0,0,1,"Traditional models correct, DistilBERT wrong",,
"The director of this movie is a famous french TV presenter, Patrick Sebastien. He likes music and humor for rednecks, and his incredible movie is absolutely in his image. It's the story of a young retarded person, called ""Zep"" (sic). A night, he sees his sister's SM sexual relation, and decide to do the same thing: he rape the girl who he loves! Zep is placed in a asylum, and his unlucky girlfriend in a clinic. One man will find them. One man will reunite them. This man is a psychologist. This man looks like a Hell's angel. This man is... Patrick Sebastien! With an excessive use of clichés, we'll see how the Absolute Love can break all misunderstandings, and how a humanist doctor can force a victim to fall in love with her rapist. We'll also learn how using sandwiches in order to seduce a girl. Not only Patrick Sebastien thinks that he can do better than one century of psychiatry, but he also impose us a silly left ideology; with the character of the father's girlfriend, a boss, who want to take away the feeble of his girl. Distressing. But it's very pleasant to laugh at Zep (mentally retarded persons are not funny, except in this movie.)",0,0,0,1,"Traditional models correct, DistilBERT wrong",,
"I've got to say it. Gary Busey saved this film. If it were not for his fine acting talents this film would have been sub par. I recommend the film but just barely.<br /><br />The biggest difficulty with the film is its broad disregard for historical, geographical and physical accuracy. For example, why is Lubbock green and hilly? How come Buddy's producer Petty ignored? Where are the daily trips to the Clovis, New Mexico studio? Why is Nashville treated as a racist hate camp out to destroy the Holly sound? Why was Buddy's two week courtship to Maria treated as a complex, taboo, race mixing stereotype? Why are Buddy's tile boxes as light as feathers? Finally, why are the Crickets portrayed as trouble making roadblocks to Holly's talent?<br /><br />Taken on their face these inaccuracies should spell doom for any film proclaiming itself, ""The Buddy Holly Story."" However, Busey does deliver a stirring portrayal as the man whose death eventually led to the day the music died.",1,1,1,0,"Traditional models correct, DistilBERT wrong",,
"Pistol-packing Pam Grier takes names and kicks butt as the heroine in ""Asylum of Satan"" director William Girdler's entertaining blaxploitation actioneer ""Sheba Baby,"" co-starring D'Urville Martin and Austin Stoker. ""Sheba Baby"" is one of several tough chick flicks that Grier appeared in during the 1970s, including ""Coffy,"" ""Foxy Brown,"" and ""Friday Foster."" The short-lived Girdler co-wrote this thoroughly routine private eye potboiler with producer David Shelton in one night and it features a headstrong female shamus that refuses to rely on a man to help her take care of business. Unfortunately, ""Sheba Baby"" isn't nearly as good as the blaxploitation movies that Grier made under the supervision of director Jack Hill. Hill helmed the African-American North Carolina native in ""Coffy,"" ""Foxy Brown,"" ""The Big Bird Cage,"" and ""The Big Doll House."" Anybody that analyzes images of African-American women in cinema should be familiar with these epics. The chief problem with ""Sheba Baby"" is that our heroine gets too many convenient breaks. Naturally, the secondary villains are trigger happy clowns that couldn't hit the side of a barn with a howitzer. As the main antagonist, Dick Merrifield qualifies as both an egotistical as well as smarmy villain with choice lines like: ""Anything worth having is worth stealing."" Additionally, composer Monk Huggins does provide a strong, atmospheric orchestral soundtrack, and the best song, with Barbara Mason warbling it, is ""Good Man Is Gone."" ""Sheba Baby"" casts Grier as stylist Chicago gumshoe Sheba Shayne. She leaves the Windy City to return to her hometown of Louisville, Kentucky, to help out her father. When she arrives in Louisville, Sheba learns that her father, Andy (Rudy Challenger of ""Detroit 9000""), is having trouble with a local black gangster nicknamed Pilot (cigar-chomping D'Urville Martin of ""Hammer"") who demands that Andy sell out his loan company to Pilot or die.<br /><br />Initially, Pilot dispatches a goon squad to trash Andy's office, but our heroine's father catches them in the act. They turn Sheba's father into a punching bag. Interestingly, during the fight scene, Girdler rarely shows fists smashing flesh. Earlier, Andy's right-hand man, Brick Williams (Austin Stoker of ""Horror High""), had sent Sheba a telegram requesting that she return to Louisville, but she didn't receive it immediately thanks to her lazy partner who didn't know where to find her. Brick and Sheba hook up, rekindle their romantic flames, and share a night in the sack. Brick spends most of his time urging Sheba to remain calm in the face of adversity. As a former Louisville, Kentucky, police woman, Sheba prefers to shoot first and ask questions second. After she arrives home, Sheba borrows her father's car and barely escapes being blown to bits. As she is walking out the door to get into her father's car, Andy receives another harassing call from Pilot. Previously, Andy had refused to discuss the prospect of selling his loan company to Pilot, but Andy changes his mind and agrees to talk with the hoodlum. A gratified Pilot warns Andy about the dynamite that has been attached to his ignition with a delayed action fuse. In other words, cranking up the car won't trigger the explosion; the explosion comes ten seconds later. Andy and Brick rescue Sheba before the car blows up. Earlier, Sheba had agreed to let her father handle his problems without her interference. ""Dad, I know you think I'm doing a man's job, but I'm not going to sit on the sidelines just because I'm a woman,"" Sheba tells him. After her near-death experience, Sheba vows to learn who sabotaged her father's car. She grilles an old contact from her days as a cop and threatens the guy with her gun to extract the information. Only after Sheba has ground the guy's face into a bucket of chlorine dust does he relent and tell her about a pay-off at the town's railroad museum. Brick accompanies Sheba and shooting ensues with a flustered Pilot getting away by the skin of his chin.<br /><br />Later, Pilot sends a quintet of out-of-town contract thugs armed-to-the-teeth to trash Andy's office. These gunsels ignore their no-kill orders. Not only do they shoot the loan company office to ribbons, but they also blast Sheba's dad with a shotgun. Sheba retaliates in short order. Wielding her nickel-plated revolver, she guns down three of the four assailants Dirty Harry style. The last hit-man discards his weapon and pleads for mercy. Sheba has her finger on the trigger when Homicide Detective Phil Jackson (Charles Kissinger of ""Abby"") and a uniform cop arrive on the scene. At the hospital, Andy Shayne dies holding his daughter's hand. Naturally, Pilot is furious at this revelation and his fury borders on apoplexy. Afterward, Sheba tracks down a loan shark, Walker (Christopher Joy of ""Cleopatra Jones""), and pries information out of him about the Pilot while she holds him at gunpoint in a car wash. This is one of the better staged scenes with lots of ominous shots of the car wash equipment whirling and humming. Walker warns Pilot about Sheba. Pilot and his henchmen confront Sheba in a parking lot and swap lead. Sheba flees on foot to a nearby carnival. While the police corner one of Pilot's men, she deals with the others. Pilot shoots one of his own accidentally and Sheba runs him down. She pins Pilot to a roller-coaster track and threatens to hold him there until the roller-coaster cuts his head off. Pilot manages to escape after he has spilled his guts to Sheba about the identity and phone number of the big man, Shark (Dick Merrifield of ""The Hellcats""), whose reputation is so immaculate that Detective Jackson describes him as ""the guy with all the right answers."" ""Sheba Baby"" isn't top-notch Pam Grier. However, the idea that our heroine can handle everything by herself without help from guys makes it interesting as well as entertaining chick flick.",1,1,1,0,"Traditional models correct, DistilBERT wrong",,
"Carlos wants to make fun of affirmative action, racial stereotypes and related topics on his show which makes him a lot like Supreme Court Justice Thomas. He's there BECAUSE of his race and then denigrates it. He can supposedly make fun of Mexicans to no end because he is himself Mexican, and I would also contend he can get away with making fun of the mentally challenged because any lay person can tell he's not the sharpest tool....though he is definitely a tool of some sort. <br /><br />He is a hack comedian who, even with a staff of writers, can't put together 3 minutes of genuinely funny material in a 30 minute show. I can't think of a single comedian who is regularly on TV that Carlos can hold a candle to except maybe Larry the Cable Guy (not too surprisingly, he also has a show on Comedy Central to cater to the exact same audience no doubt.<br /><br />If you ever see the greats, Jerry Seinfeld, Chris Rock, Jon Stewart etc. talk about comedy you really get a feeling for the amount of work and thought that goes into developing a funny interesting comedic voice. All that work was completely skipped by Mencia; his comedic voice is, in part, stolen from other better comics and in part hidden by his propensity for yelling his unfunny rehashed racist tripe. Mencia's show is beloved by some of the ""at least I don't suck that badly crowd"" who I firmly believe watch it to feel better from his rants about the dumbing down of society; unfortunately Carlos and his fans are part of the problem not the solution on that topic.",0,0,0,1,"Traditional models correct, DistilBERT wrong",,
"Viewers of independent films know that once or twice a year they are going to see stories about dysfunctional families and they have come to expect them and it's becoming more of a challenge to keep them fresh but here despite the good cast it just seems more of the same. Story is about the Travis family who is trying to recover from the suicide of Matt (Kip Pardue) who was a very promising high school swimmer. Ben (Jeff Daniels) is the father who withdraws from everyone and has never treated his other son Tim (Emile Hirsch) as well as Matt but he does communicate (of some sort) to his mother Sandy (Sigourney Weaver) who finds his stash of pot and starts to smoke it.<br /><br />*****SPOILER ALERT***** Sandy also starts to flirt with much younger men like the check-out cashier at the grocery store but when she attempts to buy more marijuana she gets busted and hauled off to jail. She doesn't tell anyone what happened but she does discover bruises on Tim's body and also that Ben has taken a leave of absence from work. After all this happens Sandy falls ill and lands in the hospital where her life is in danger which forces Ben to realize that he may have to come to terms with losing another part of his family.<br /><br />This film is written and directed by Dan Harris who has worked with Bryan Singer on ""X2"" and also the upcoming Superman film and while his script allows these characters to have genuine moments of expressing their pain and confusion the story (for me) just has too many things thrown in. The script touches on so many different areas that you need a scorecard to keep track of them all including drugs, sex, love, infidelity, abuse, neglect, experimentation with homosexuality, and a life threatening illness. If all those scenarios weren't enough for you Harris then tacks on a plot twist at the end that's supposed to sum up and explain most of everyone's feelings towards Tim. While I did roll my eyes at least 2 or 3 times with the way the script kept unrolling one thing after another I must admit that I didn't hate this film and I have to credit the actors for that. Everyone has at least one good scene somewhere in the film but I wish the story would have concentrated more on Weaver and her character than Hirsch. Weaver is exceptional and with a sharper script she could have had a role that maybe would have led to an Oscar nomination but instead we get endless scenes of Hirsch at parties or his shenanigans with the neighbor next door. Harris shows he can be a good writer/director but with this effort he just throws so many different things at the audience that the material just becomes labored and contrived.",0,0,0,1,"Traditional models correct, DistilBERT wrong",,
"Following on directly from the last episode of the previous series Yes Minister.<br /><br />Jim Hacker now finds himself inside Number 10 Downing Street as Prime Minister of Great Britain, instead of a Cabinet Minister and a member of the government, he is now leading Her Majesty's Government.<br /><br />All this after some scheming maneuvers by Sir Humphrey Appleby after the previous Prime Minister resigned at the end of Yes Minister. <br /><br />Sir Humphrey Appleby is now the head of the Civil Service.<br /><br />I thought that this series was better than the first series, or though it did not last as long as the first series unfortunately.",1,1,1,0,"Traditional models correct, DistilBERT wrong",,
